Binomial,Stage1,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Acanthiza_iredalei,1,AF129228,NA,GU825895,NA,NA,NA,NA,NA,NA,NA
Acanthiza_katherina,1,AF129231,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthiza_lineata,1,AF129233,GU825778,NA,NA,GU825828,NA,NA,NA,NA,NA
Acanthiza_murina,1,AF129236,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthiza_nana,1,AF129234,GU825777,NA,NA,GU825827,NA,NA,NA,NA,NA
Acanthiza_pusilla,1,AF129238,GU825772,GU825891,NA,GU825822,NA,NA,AF129255,NA,NA
Acanthiza_reguloides,1,AF129241,NA,NA,NA,GU825823,NA,NA,NA,NA,NA
Acanthiza_robustirostris,1,AF129243,GU825779,GU825899,NA,NA,NA,NA,NA,NA,NA
Acanthiza_uropygialis,1,AF129246,GU825776,GU825896,NA,GU825826,NA,NA,NA,NA,NA
Acanthorhynchus_superciliosus,1,AY488331,NA,AY488260,NA,NA,AY488411,NA,NA,NA,NA
Acanthorhynchus_tenuirostris,1,AY488332,NA,AY488261,NA,NA,AY488412,NA,NA,NA,NA
Acanthornis_magna,1,NA,GU825766,GU825884,NA,GU825817,NA,NA,NA,NA,NA
Accipiter_bicolor,1,AY987307,FJ027015,AY987129,NA,NA,NA,AY987210 - intron 7,NA,NA,NA
Accipiter_cirrocephalus,1,EU583320,NA,EU583259,NA,NA,NA,EU583221 - intron 7,NA,NA,NA
Accipiter_cooperii,1,AY987308,DQ433275,AY987130,NA,NA,NA,AY987211 - intron 7,NA,NA,NA
Accipiter_erythronemius,1,NA,FJ027017,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_gentilis,1,NC_011818,NC_011818,NC_011818,NC_011818,DQ881796,NA,DQ881938,NA,DQ881837,DQ881709
Accipiter_gularis,1,AY423066,EF515767,EU583261,NA,NA,NA,NA,NA,NA,NA
Accipiter_imitator,1,NA,NA,NA,NA,EF078707,NA,NA,NA,NA,NA
Accipiter_nisus,1,EU583323,EF515769,AB246663,NA,EF078708,NA,EF552749 - intron 7,NA,NA,EF552707
Accipiter_novaehollandiae,1,NA,NA,NA,NA,EF078709,NA,NA,NA,NA,NA
Accipiter_rufiventris,1,EU583324,NA,EU583263,NA,NA,NA,EU583222 - intron 7,NA,NA,NA
Accipiter_soloensis,1,NA,EF515771,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_striatus,1,U83305,DQ434244,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_superciliosus,1,NA,U83771,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_tachiro,1,NA,NA,NA,NA,EF078710,NA,NA,NA,NA,NA
Accipiter_trivirgatus,1,AY139643,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_virgatus,1,NA,GQ481252,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_cassidix,1,AF346939,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_comatus,1,AF346937,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_corrugatus,1,AF346945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_nipalensis,1,GU257913,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_plicatus,1,AF346940,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_undulatus,1,AF346944,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achaetops_pycnopygius,1,NA,NA,NA,NA,AY799811,NA,NA,NA,NA,NA
Acridotheres_albocinctus,1,NA,NA,EU403586,NA,NA,NA,NA,EU551874,EU551855,EU551905
Acridotheres_cinereus,1,NA,NA,EU403590,NA,NA,NA,NA,EU551875,EU551856,EU551906
Acridotheres_cristatellus,1,NA,EF484195,EF468165,NA,NA,EF468303,EF471822,EU551876,EU551857,EU551907
Acridotheres_fuscus,1,NA,EF484196,DQ466849,NA,AY307180,EF468304,EF471823,EU551877,DQ466813,EU551908
Acridotheres_ginginianus,1,NA,EF484197,EU403591,NA,NA,NA,NA,NA,NA,NA
Acridotheres_grandis,1,NA,EF484198,EF468168,NA,NA,EF468305,EF471824,EU551878,EU551858,EU551909
Acridotheres_tristis,1,FJ499017,EF484200,EF468170,NA,DQ466794,EF468307,EF471826,EU551881,DQ466814,EU551912
Acrobatornis_fonsecai,1,NA,NA,NA,NA,FJ461133,NA,NA,NA,NA,NA
Acrocephalus_aedon,1,AJ004778,NA,DQ125987,NA,NA,NA,NA,NA,FJ883104,FJ883126
Acrocephalus_aequinoctialis,1,EF156278,NA,EF156315,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_agricola,1,AJ004775,GQ481254,NA,NA,NA,NA,NA,NA,FJ883108,FJ883127
Acrocephalus_arundinaceus,1,AB159187,GQ481269,GQ242092,GQ242126,NA,GQ242047,GQ242070 (reversed),NA,DQ008530,FJ883128
Acrocephalus_atyphus,1,EF156297,NA,EF156318,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_australis,1,AJ004786,NA,EF156320,NA,NA,NA,NA,NA,FJ883097,FJ883129
Acrocephalus_baeticatus,1,AJ004769,NA,NA,NA,NA,NA,NA,NA,FJ883103,FJ883130
Acrocephalus_bistrigiceps,1,AJ004257,GQ481256,AY136601,NA,NA,NA,NA,NA,FJ883109,FJ883131
Acrocephalus_brevipennis,1,AJ004259,NA,NA,NA,NA,NA,NA,NA,FJ883099,FJ883132
Acrocephalus_caffer,1,EF156307,NA,EF156348,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_concinens,1,AJ004262,NA,NA,NA,NA,NA,NA,NA,FJ883101,FJ883133
Acrocephalus_dumetorum,1,AJ004264,GQ481263,NA,NA,FJ358146,EF626749,NA,FJ357911,AY887682,EF625338
Acrocephalus_familiaris,1,EU119965,NA,EU119962,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_gracilirostris,1,AJ004782,NA,NA,NA,NA,NA,NA,NA,FJ883095,FJ883135
Acrocephalus_griseldis,1,AJ004271,NA,NA,NA,NA,NA,NA,NA,FJ883092,FJ883136
Acrocephalus_kerearako,1,EF156291,NA,EF156331,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,1,AJ004767,GQ481267,NA,NA,NA,NA,NA,NA,FJ883093,FJ883138
Acrocephalus_mendanae,1,EF156280,NA,EF156343,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_newtoni,1,AJ004780,NA,NA,NA,AY319972,NA,NA,NA,FJ883123,FJ883139
Acrocephalus_orinus,1,*DQ681065,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,1,AJ004292,NA,NA,NA,NA,NA,NA,NA,FJ883112,FJ883141
Acrocephalus_palustris,1,EU016091,GQ481273,NA,NA,NA,NA,NA,NA,FJ883106,FJ883142
Acrocephalus_rimatarae,1,EF156305,NA,EF156346,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_rufescens,1,AJ004296,NA,NA,NA,NA,NA,NA,NA,FJ883124,FJ883143
Acrocephalus_schoenobaenus,1,AJ004244,GQ481280,NA,NA,NA,NA,NA,NA,FJ883107,FJ883144
Acrocephalus_scirpaceus,1,NC_010227,NC_010227,NC_010227,NC_010227,NA,NA,NA,NA,FJ883111,FJ883145
Acrocephalus_sechellensis,1,AJ004781,NA,NA,NA,NA,NA,NA,NA,FJ883122,FJ883146
Acrocephalus_stentoreus,1,AJ004789,FJ465293,NA,NA,NA,NA,NA,NA,FJ883100,FJ883137
Acrocephalus_taiti,1,FJ883042,NA,EF156354,NA,NA,NA,NA,NA,FJ883096,FJ883148
Acrocephalus_tangorum,1,AJ004777,NA,NA,NA,NA,NA,NA,NA,FJ883110,FJ883147
Acrocephalus_vaughani,1,AJ004308,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropternis_orthonyx,1,NA,NA,NA,NA,FJ461224,NA,NA,GQ925879,GQ925894,GQ925860
Acryllium_vulturinum,1,FJ752436,FJ752436,FJ752436,FJ752436,NA,NA,NA,NA,NA,NA
Actenoides_concretus,1,NA,NA,DQ111850,NA,DQ111811,EU021569,NA,NA,NA,NA
Actenoides_lindsayi,1,NA,NA,DQ111851,NA,DQ111812,NA,NA,NA,NA,NA
Actinodura_egertoni,1,GU139509,GU139496,GU139525,NA,NA,NA,NA,NA,NA,NA
Actinodura_morrisoniana,1,GU139506,GU139492,GU139520,NA,NA,NA,NA,NA,NA,NA
Actinodura_nipalensis,1,AF484840,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura_ramsayi,1,GU139512,GU139499,GU139526,NA,NA,NA,NA,NA,NA,NA
Actinodura_souliei,1,AF376889,GU139488,DQ861971,NA,FJ358088,NA,NA,FJ357853,FJ357924,FJ358022
Actinodura_waldeni,1,GU139505,GU139491,GU139519,NA,NA,NA,NA,NA,NA,NA
Actitis_hypoleucos,1,AY894229,EU525284,AY894178,NA,AY894212,NA,NA,NA,NA,NA
Actitis_macularius,1,AY894231,DQ434247,AY894180,NA,AY894214,NA,AY695182,NA,NA,NA
Actophilornis_africanus,1,EF373117,NA,EF373218,NA,AY228791,NA,AY695178,NA,NA,NA
Adelomyia_melanogenys,1,NA,NA,AY830457,NA,NA,NA,AY830608 - Bfib intron 7,NA,NA,GU166937
Aechmophorus_clarkii,1,EF565886,DQ433282,NA,NA,NA,NA,AY695146,NA,NA,NA
Aechmophorus_occidentalis,1,AY567919,DQ433284,NA,AY567933,NA,NA,NA,NA,NA,NA
Aegithalos_caudatus,1,DQ792803,EF515780,AY136588,NA,AY228001,EU680621,NA,FJ357912,AY228281,EU680703
Aegithalos_concinnus,1,DQ008519,NA,NA,NA,NA,NA,NA,NA,DQ008570,NA
Aegithalos_fuliginosus,1,GU244445,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_iouschistos,1,GU244431,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_leucogenys,1,GU244439,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_niveogularis,1,GU244436,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithina_tiphia,1,NA,NA,AY816232,NA,AY056977,NA,NA,DQ406650,AY816225,NA
Aegolius_acadicus,1,U89172,DQ433287,EU601051,EU601013,EU348863,NA,NA,NA,EU601093,NA
Aegolius_funereus,1,AJ004350,AY666416,NA,NA,EU348864,NA,NA,NA,NA,NA
Aegolius_harrisii,1,AJ003940,NA,NA,NA,EU348865,NA,NA,NA,NA,NA
Aegotheles_albertisi,1,X95764,NA,NA,NA,AY233362,NA,DQ881939,NA,AY233375,DQ881710
Aegotheles_archboldi,1,AY090669,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_bennettii,1,X95774,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_crinifrons,1,AY090682,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_cristatus,1,EU344979,EU344979,EU344979,EU344979,NA,NA,AY695138,NA,NA,NA
Aegotheles_insignis,1,FJ588456,NA,EU042514,NA,DQ482636,EU739203,EU739359 extraction,NA,EU739912,GU166932
Aegotheles_savesi,1,AY090691,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_tatei,1,AY090693,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_wallacii,1,AY090694,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegypius_monachus,1,AY987266,EF515763,AY987085,NA,EF078711,NA,AY987184 - intron 7,NA,NA,NA
Aepypodius_arfakianus,1,NA,NA,AF394617,NA,NA,NA,NA,NA,NA,NA
Aeronautes_saxatalis,1,EU166978,DQ433288,GU166847,NA,NA,NA,GU166838 - Bfib intron 7,NA,NA,GU166927
Aethia_cristatella,1,U37087,EF380315,EF373219,NA,EF373165,NA,NA,NA,NA,NA
Aethia_psittacula,1,U37296,EF380327,EF373235,NA,EF373179,NA,NA,NA,NA,NA
Aethia_pusilla,1,U37104,EF380316,EF380337,NA,EF380266,NA,NA,NA,NA,NA
Aethia_pygmaea,1,U37286,EF380317,EF380338,NA,EF380267,NA,NA,NA,NA,NA
Aethopyga_boltoni,1,NA,NA,GQ145301,AY233986,NA,NA,NA,NA,NA,NA
Aethopyga_christinae,1,NA,NA,GQ145290,GQ145248,NA,NA,NA,NA,NA,NA
Aethopyga_duyvenbodei,1,NA,NA,GQ145295,GQ145253,NA,NA,NA,NA,NA,NA
Aethopyga_flagrans,1,AY228045,NA,NA,NA,AY228002,EU680622,NA,NA,AY228282,EU680704
Aethopyga_primigenia,1,NA,NA,GQ145292,GQ145250,NA,NA,NA,NA,NA,NA
Aethopyga_siparaja,1,NA,NA,GQ145294,GQ145252,NA,NA,NA,NA,NA,NA
Afropavo_congensis,1,AF013760,NA,DQ768253,NA,NA,NA,DQ306959,NA,NA,NA
Agapornis_canus,1,AF001332,NA,NA,NA,GQ505191,NA,NA,NA,NA,NA
Agapornis_fischeri,1,AF346358,NA,NA,NA,GQ505192,NA,NA,NA,NA,NA
Agapornis_lilianae,1,AF001331,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_nigrigenis,1,AF001328,NA,NA,NA,GQ505193,NA,NA,NA,NA,NA
Agapornis_personatus,1,AF001325,NA,NA,NA,EF517672,NA,NA,NA,NA,NA
Agapornis_pullarius,1,AF001326,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_roseicollis,1,EU410486,EU410486,EU410486,EU410486,GQ505194,GQ395347,GQ395348,NA,NA,GQ395349
Agapornis_taranta,1,AF001327,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaioides_badius,1,AF089042,FJ027021,AF109939,NA,AY228021,NA,NA,NA,AY228305,NA
Agelaius_humeralis,1,AF089006,NA,AF109947,NA,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,1,EF177807,DQ434250,AF290134,NA,NA,NA,AY714390 - BFIB7 gene extraction,NA,NA,NA
Agelaius_tricolor,1,AF089011,NA,AF109949,NA,NA,NA,NA,NA,NA,NA
Agelaius_xanthomus,1,AF089012,NA,AF109948,NA,NA,NA,NA,NA,NA,NA
Agelastes_meleagrides,1,AM236884,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelasticus_cyanopus,1,AF290174,FJ027029,AF109931,NA,AY037854,NA,NA,NA,AY228283,NA
Agelasticus_thilius,1,AF089010,FJ027038,AF109933,NA,NA,NA,NA,NA,NA,NA
Agelasticus_xanthophthalmus,1,AF089013,NA,AF109932,NA,NA,NA,NA,NA,NA,NA
Aglaeactis_castelnaudii,1,NA,NA,AY830458,NA,NA,NA,AY830609 - Bfib intron 7,NA,NA,NA
Aglaeactis_cupripennis,1,U90102,NA,AY830459,NA,NA,NA,FJ903573 - BFIB intron 7,NA,NA,GU166938
Aglaeactis_pamela,1,NA,NA,GU167201,NA,NA,NA,GU167091 - Bfib intron 7,NA,NA,GU166939
Aglaiocercus_coelestis,1,NA,NA,AY830460,NA,NA,NA,AY830611 - Bfib intron 7,NA,NA,GU166940
Aglaiocercus_kingi,1,NA,NA,AY830461,NA,NA,NA,AY830612 - Bfib intron 7,NA,NA,GU166941
Agriornis_albicauda,1,NA,NA,NA,NA,NA,NA,NA,EU231738,EU231836,EU231939
Agriornis_micropterus,1,NA,FJ027041,NA,NA,FJ501594,NA,NA,NA,NA,NA
Agriornis_montanus,1,NA,NA,NA,AF132644,NA,NA,NA,NA,NA,NA
Agriornis_murinus,1,NA,FJ027046,NA,NA,NA,NA,NA,NA,NA,NA
Ailuroedus_crassirostris,1,U10371,NA,AY064750,NA,AY064259,NA,NA,NA,AY064739,NA
Ailuroedus_melanotis,1,X74257,NA,EU341440,NA,AY443260,NA,EU341408,EU341422,NA,EU341453
Aimophila_aestivalis,1,FJ547270,NA,FJ547311,NA,NA,NA,NA,NA,NA,NA
Aimophila_botterii,1,FJ547271,NA,FJ547312,AY489513,NA,NA,AY489412,NA,NA,NA
Aimophila_carpalis,1,FJ547268,NA,FJ547309,NA,NA,NA,NA,NA,NA,NA
Aimophila_cassinii,1,AF447362,DQ433291,FJ547310,NA,NA,NA,NA,NA,NA,NA
Aimophila_humeralis,1,FJ547265,NA,FJ547306,NA,NA,NA,NA,NA,NA,NA
Aimophila_mystacalis,1,FJ547266,NA,FJ547307,NA,NA,NA,NA,NA,NA,NA
Aimophila_notosticta,1,FJ547274,NA,FJ547315,NA,NA,NA,NA,NA,NA,NA
Aimophila_quinquestriata,1,FJ547275,NA,FJ547316,NA,NA,NA,NA,NA,NA,NA
Aimophila_rufescens,1,FJ547273,NA,FJ547314,NA,NA,NA,NA,NA,NA,NA
Aimophila_ruficauda,1,FJ547264,NA,FJ547304,NA,NA,NA,NA,NA,NA,NA
Aimophila_ruficeps,1,FJ547272,AY666227,FJ547313,NA,NA,NA,NA,NA,NA,NA
Aimophila_stolzmanni,1,FJ547276,NA,FJ547317,NA,NA,NA,NA,NA,NA,NA
Aimophila_strigiceps,1,FJ547277,NA,FJ547318,NA,NA,NA,NA,NA,NA,NA
Aimophila_sumichrasti,1,FJ547267,NA,FJ547308,NA,NA,NA,NA,NA,NA,NA
Aix_galericulata,1,U46484,GQ481296,EU585667,NA,NA,NA,NA,NA,NA,NA
Aix_sponsa,1,AF059053,AY666569,AF059114,NA,NA,NA,NA,NA,NA,NA
Alaemon_alaudipes,1,AY165161,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alauda_arvensis,1,AF074595,DQ432704,AY847059,NA,AY056978,EF626747,NA,FJ357913,AY228284,EF625336
Alauda_gulgula,1,NA,FJ661105,NA,NA,NA,NA,NA,NA,NA,NA
Alca_torda,1,U37288,EF380318,EF373220,NA,AY228788,NA,NA,NA,AY339074,NA
Alcedo_argentata,1,NA,NA,DQ640786,NA,NA,NA,NA,NA,DQ640815,NA
Alcedo_atthis,1,D38329,EF515759,DQ640772,AY998968,DQ111792,NA,NA,NA,AY165800,DQ881712
Alcedo_azurea,1,NA,NA,DQ111832,NA,DQ111793,NA,NA,NA,DQ640805,NA
Alcedo_coerulescens,1,NA,NA,DQ640782,NA,NA,NA,NA,NA,DQ640811,NA
Alcedo_cristata,1,NA,NA,DQ111834,EF585322,DQ111795,NA,NA,NA,DQ640809,NA
Alcedo_cyanopectus,1,NA,NA,DQ640789,AY998935,NA,NA,NA,NA,DQ640818,NA
Alcedo_euryzona,1,NA,NA,DQ640777,NA,NA,NA,NA,NA,DQ640804,NA
Alcedo_hercules,1,NA,NA,DQ640783,NA,NA,NA,NA,NA,DQ640812,NA
Alcedo_leucogaster,1,NA,NA,DQ111833,AY998965,DQ111794,EU739205,EU739361 extraction,NA,EU739914,NA
Alcedo_meninting,1,NA,NA,DQ640774,AY998967,NA,NA,NA,NA,DQ640801,NA
Alcedo_pusilla,1,NA,NA,DQ640778,NA,NA,NA,NA,NA,DQ640806,NA
Alcedo_quadribrachys,1,NA,NA,DQ111830,AY998966,DQ111791,NA,NA,NA,EF585364,NA
Alcedo_semitorquata,1,NA,NA,DQ640781,NA,NA,NA,NA,NA,DQ640810,NA
Alcedo_vintsioides,1,NA,NA,DQ640780,AY998963,NA,NA,NA,NA,DQ640808,NA
Alcedo_websteri,1,NA,NA,DQ640779,NA,NA,NA,NA,NA,DQ640807,NA
Alcippe_brunnea,1,AY128545,FJ754292,DQ861954,NA,NA,NA,NA,NA,NA,NA
Alcippe_brunneicauda,1,AY128546,NA,EF154807,FJ460838,NA,NA,NA,NA,NA,NA
Alcippe_castaneceps,1,AY128548,NA,DQ861946,NA,NA,NA,NA,NA,NA,NA
Alcippe_chrysotis,1,AY128549,NA,DQ861978,NA,FJ358109,NA,NA,FJ357874,NA,FJ358043
Alcippe_cinerea,1,AY128550,NA,DQ861963,NA,NA,NA,NA,NA,NA,NA
Alcippe_cinereiceps,1,AY128554,NA,DQ861977,NA,NA,NA,NA,NA,NA,NA
Alcippe_dubia,1,AY128555,FJ754291,DQ861961,NA,NA,NA,NA,NA,NA,NA
Alcippe_formosana,1,AY128552,NA,DQ861952,NA,NA,NA,NA,NA,NA,NA
Alcippe_grotei,1,AY128560,NA,DQ861957,NA,NA,NA,NA,NA,NA,NA
Alcippe_manipurensis,1,AY128553,NA,DQ861960,NA,NA,NA,NA,NA,NA,NA
Alcippe_morrisonia,1,AY128559,EU447062,EF154788,NA,EU447153,NA,NA,GU724425,DQ008535,GU724505
Alcippe_peracensis,1,AY128561,NA,EF154810,NA,AY319973,NA,NA,NA,NA,NA
Alcippe_poioicephala,1,AF376890,NA,DQ861966,NA,FJ358089,NA,NA,NA,FJ357925,FJ358023
Alcippe_ruficapilla,1,AY128564,NA,DQ861949,NA,NA,NA,NA,NA,NA,NA
Alcippe_rufogularis,1,AY128565,NA,DQ861955,NA,FJ358131,NA,NA,FJ357896,FJ357965,FJ358065
Alcippe_striaticollis,1,AY128566,NA,DQ861950,NA,NA,NA,NA,NA,NA,NA
Alcippe_vinipectus,1,AY128567,NA,DQ861951,NA,FJ358095,NA,NA,FJ357860,FJ357931,FJ358029
Aleadryas_rufinucha,1,FJ821110,NA,EF592289,NA,FJ821040,NA,NA,EU273375,FJ821098,EU273355
Alectoris_barbara,1,Z48771,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_chukar,1,FJ752426,FJ752426,FJ752426,FJ752426,NA,NA,DQ306960,NA,NA,NA
Alectoris_graeca,1,Z48772,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_magna,1,Z48776,NA,EU845744,NA,NA,NA,NA,NA,NA,NA
Alectoris_melanocephala,1,Z48773,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_philbyi,1,Z48774,FJ465299,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_rufa,1,Z48775,GU951807,DQ307002,NA,NA,NA,DQ306961,EF152483,NA,NA
Alectroenas_madagascariensis,1,AF483344,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectrurus_risora,1,NA,NA,NA,NA,FJ501595,NA,NA,EU231722,EU231820,EU231923
Alectrurus_tricolor,1,NA,NA,NA,NA,FJ501596,NA,NA,NA,NA,NA
Alectura_lathami,1,AY346091,AY346091,AY346091,AY346091,AF294687,EU739206,AY952647,AY952714,EU739915,DQ881792
Alethe_choloensis,1,AY206932,NA,NA,NA,NA,AY206888,NA,NA,NA,NA
Alethe_diademata,1,AY206967,NA,GU358776,NA,NA,AY206893,NA,GU358968,GU358705,GU358834
Alethe_fuelleborni,1,AY206930,NA,NA,NA,NA,AY206886,NA,NA,NA,NA
Alethe_poliocephala,1,AY206975,NA,GQ369696,NA,NA,AY206889,NA,GU359024,GU358759,HM633684
Alethe_poliophrys,1,AY206925,NA,NA,NA,NA,AY206891,NA,NA,NA,NA
Alipiopsitta_xanthops,1,AY669441,AY301465,AY669485,NA,DQ143345,NA,AY301512 - intron 7,NA,NA,NA
Alisterus_amboinensis,1,NA,EU621594,EU327597,NA,NA,NA,NA,NA,NA,NA
Alisterus_chloropterus,1,NA,NA,NA,NA,GQ505199,NA,NA,NA,NA,NA
Alisterus_scapularis,1,FJ499014,NA,NA,NA,GQ505198,EU739207,EU739363 extraction,NA,EU739916,NA
Alle_alle,1,U37287,EF380320,EF380339,NA,EF373166,NA,NA,NA,NA,NA
Alophoixus_bres,1,AF199384,NA,AY825994,DQ402289,NA,NA,AY827403 - beta-fibrinogen intron 7,NA,NA,NA
Alophoixus_ochraceus,1,NA,NA,DQ402229,DQ402290,NA,NA,DQ402322 (reversed),NA,NA,NA
Alophoixus_pallidus,1,DQ008507,NA,GQ369685,GU112692,NA,EF626743,GU112600 (reversed),GQ369626,EF625281,EF625332
Alophoixus_phaeocephalus,1,NA,NA,DQ402230,DQ402291,NA,NA,DQ402323 (reversed),NA,NA,NA
Alopochelidon_fucata,1,AY825943,FJ027051,AY826009,NA,NA,NA,AY827420 - beta-fibrinogen intron 7,NA,NA,NA
Alopochen_aegyptiaca,1,U46472,NA,EU585669,NA,NA,NA,NA,NA,NA,NA
Amadina_erythrocephala,1,EU423967,NA,AY323587,NA,NA,NA,NA,NA,NA,NA
Amadina_fasciata,1,AY495400,NA,AY323586,NA,NA,NA,AY494578 - fib intron 7,NA,NA,NA
Amalocichla_incerta,1,FJ808760,NA,NA,NA,FJ808764,NA,NA,NA,FJ808768,NA
Amalocichla_sclateriana,1,FJ808761,NA,NA,NA,FJ808765,NA,NA,NA,FJ808769,NA
Amandava_amandava,1,EU423958,NA,AY323588,NA,NA,NA,NA,NA,NA,NA
Amandava_formosa,1,NA,NA,AY323589,NA,NA,NA,NA,NA,NA,NA
Amandava_subflava,1,EU423929,NA,AF407028,NA,NA,NA,NA,NA,NA,NA
Amaurocichla_bocagei,1,NA,NA,NA,NA,NA,EU680624,NA,NA,EU680613,EU680700
Amaurornis_akool,1,NA,FJ661094,NA,NA,NA,NA,NA,NA,NA,NA
Amaurospiza_concolor,1,EF529995,NA,EF529881,NA,NA,NA,NA,NA,NA,NA
Amazilia_amabilis,1,NA,NA,EU042518,NA,NA,NA,EU042354 - Bfib gene extraction,NA,NA,GU166942
Amazilia_amazilia,1,NA,NA,GU167202,NA,NA,NA,GU167092 - Bfib intron 7,NA,NA,GU166943
Amazilia_beryllina,1,NA,NA,EU418761,NA,NA,NA,NA,NA,NA,NA
