Clade,Clade Size,No. Taxa with Genetic Data,Average Decisiveness,Species Dropped,1st Outgroup,2nd Outgroup,Type of Stage1 Concensus Tree
Accipitridae,245,177,0.91241954,7,Cathartes_aura,Tyto_alba,95
Aegothelidae,11,11,1,0,Hemiprocne_mystacea,Podargus_strigoides,95
Alcedinidae,95,56,1,0,Momotus_momota,Todus_angustirostris,95
Anatinae,124,110,1,0,Anser_albifrons,Dendrocygna_javanica,95
Anhimidae,5,4,1,0,Anas_strepera,Gallus_gallus,95
Anhingidae,6,5,1,0,Morus_bassanus,Phalacrocorax_carbo,95
Anserinae,27,27,1,0,Anas_platyrhynchos,Dendrocygna_javanica,95
Antpittas,51,22,0.884157895,1,Glyphorynchus_spirurus,Rhinocrypta_lanceolata,95
Antthrushes,14,9,0.795166667,1,Glyphorynchus_spirurus,Rhinocrypta_lanceolata,95
Apodidae,105,40,1,0,Colibri_coruscans,Hemiprocne_mystacea,75
Ardeidae,64,38,1,0,Gavia_immer,Himantopus_himantopus,95
BC1,6,4,1,0,Origma_solitaria,Pitta_angolensis,95
BC2,21,18,1,0,Climacteris_rufus,Creatophora_cinerea,95
BC3,9,7,1,0,Pitohui_cristatus,Ptilonorhynchus_violaceus,95
BC4,30,23,1,0,Acanthagenys_rufogularis,Sturnus_vulgaris,95
BC6,64,44,1,0,Acanthagenys_rufogularis,Malurus_amabilis,95
BC7,184,92,0.990865169,1,Acanthiza_inornata,Malurus_amabilis,95
BC8,10,10,1,0,Malurus_amabilis,Pitohui_cristatus,95
Brachypteraciidae,7,7,1,0,Coracias_garrulus,Todus_angustirostris,95
Bucconidae,37,8,0.232333333,4,Dendrocopos_major,Galbula_cyanescens,95
Bucerotidae,59,34,0.916709677,1,Aulacorhynchus_prasinus,Phoeniculus_purpureus,95
Cacatuidae,23,17,0.852,1,Eclectus_roratus,Elaenia_flavogaster,95
Caprimulgidae,93,59,1,0,Accipiter_gentilis,Tyto_alba,95
Cathartidae,9,9,1,0,Brachypteracias_leptosomus,Buteo_jamaicensis,95
CC1,18,14,0.59,3,Macronous_gularis,Rhipidura_fuliginosa,95
CC3,60,28,0.902961538,1,Lanius_ludovicianus,Pitohui_cristatus,95
CC4,82,72,0.966536232,4,Corvus_corone,Gymnorhina_tibicen,95
CC5CC6a,5,5,1,0,Eulacestoma_nigropectus,Rhipidura_fuliginosa,95
CC5CC6b,46,36,0.978151515,1,Erpornis_zantholeuca,Rhipidura_fuliginosa,95
CC5CC6c,36,32,0.831896552,2,Colluricincla_harmonica,Rhipidura_rufifrons,95
CC5CC6d,20,11,0.899125,1,Aleadryas_rufinucha,Rhipidura_fuliginosa,95
CC7,146,82,0.873518987,4,Lalage_leucomela,Rhipidura_fuliginosa,95
CC8,352,236,0.9682189,3,Colluricincla_harmonica,Oriolus_oriolus,95
ChaetopsPicathartes,7,6,0.799,1,Creatophora_cinerea,Rhipidura_fuliginosa,95
Charadrii,101,65,0.824096774,5,Arenaria_interpres,Grus_canadensis,95
Ciconiidae,21,18,0.848,1,Gavia_immer,Theristicus_caudatus,95
Coliidae,8,7,0.744,1,Brachypteracias_squamiger,Trogon_curucui,95
Columbidae,308,135,0.990477273,1,Colius_striatus,Pterocles_gutturalis,95
Conopophagidae,17,11,0.850375,1,Rhinocrypta_lanceolata,Thamnophilus_caerulescens,95
